ID_VIV,ID_HOG,UPM,VIV_SEL,HOGAR,RESUL_H,N_INF,R_SEL,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,TOT_PER,FAC_HOG,FAC_HOG_AM,DOMINIO,EST_DIS,UPM_DIS
1300019.01,1300019.01.01,1300019,1,1,A,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,282,282,U,223,5635
1300019.04,1300019.04.01,1300019,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,4,282,282,U,223,5635
1300019.05,1300019.05.01,1300019,5,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,3,282,282,U,223,5635
1300019.02,1300019.02.01,1300019,2,1,A,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,282,282,U,223,5635
1300019.03,1300019.03.01,1300019,3,1,A,1,4,13,HIDALGO,48,PACHUCA DE SOTO,4,282,282,U,223,5635
1300037.03,1300037.03.01,1300037,3,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,275,275,U,223,5636
1300037.04,1300037.04.01,1300037,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,275,275,U,223,5636
1300037.01,1300037.01.01,1300037,1,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,4,275,275,U,223,5636
1300037.02,1300037.02.01,1300037,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,275,275,U,223,5636
1300145.05,1300145.05.01,1300145,5,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,510,510,U,225,5642
1300154.01,1300154.01.01,1300154,1,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,347,347,U,224,5643
1300154.02,1300154.02.01,1300154,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,347,347,U,224,5643
1300154.05,1300154.05.01,1300154,5,1,B,1,5,13,HIDALGO,48,PACHUCA DE SOTO,5,347,347,U,224,5643
1300163.01,1300163.01.01,1300163,1,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,300,300,U,224,5644
1300163.02,1300163.02.01,1300163,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,300,300,U,224,5644
1300163.03,1300163.03.01,1300163,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,300,300,U,224,5644
1300163.04,1300163.04.01,1300163,4,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,300,300,U,224,5644
1300163.05,1300163.05.01,1300163,5,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,5,300,300,U,224,5644
1300178.01,1300178.01.01,1300178,1,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,4,305,305,U,223,5645
1300178.02,1300178.02.01,1300178,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,305,305,U,223,5645
1300178.03,1300178.03.01,1300178,3,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,5,305,305,U,223,5645
1300037.05,1300037.05.01,1300037,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,275,275,U,223,5636
1300038.01,1300038.01.01,1300038,1,1,A,2,4,13,HIDALGO,48,PACHUCA DE SOTO,5,253,253,U,223,5637
1300038.02,1300038.02.01,1300038,2,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,2,253,253,U,223,5637
1300038.03,1300038.03.01,1300038,3,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,253,253,U,223,5637
1300038.04,1300038.04.01,1300038,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,253,253,U,223,5637
1300038.05,1300038.05.01,1300038,5,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,3,253,253,U,223,5637
1300040.01,1300040.01.01,1300040,1,1,B,1,5,13,HIDALGO,48,PACHUCA DE SOTO,6,255,255,U,223,5638
1300040.02,1300040.02.01,1300040,2,1,A,1,3,13,HIDALGO,48,PACHUCA DE SOTO,3,255,255,U,223,5638
1300040.03,1300040.03.01,1300040,3,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,255,255,U,223,5638
1300040.04,1300040.04.01,1300040,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,255,255,U,223,5638
1300040.05,1300040.05.01,1300040,5,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,3,255,255,U,223,5638
1300097.01,1300097.01.01,1300097,1,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,377,377,U,223,5639
1300097.01,1300097.01.02,1300097,1,2,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,377,377,U,223,5639
1300097.02,1300097.02.01,1300097,2,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,377,377,U,223,5639
1300097.03,1300097.03.01,1300097,3,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,3,377,377,U,223,5639
1300097.04,1300097.04.01,1300097,4,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,377,377,U,223,5639
1300097.05,1300097.05.01,1300097,5,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,377,377,U,223,5639
1300114.01,1300114.01.01,1300114,1,1,B,2,3,13,HIDALGO,48,PACHUCA DE SOTO,3,140,140,U,224,5640
1300114.02,1300114.02.01,1300114,2,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,140,140,U,224,5640
